year,month,circ_type
1940,1,"['HNA', 'HNA', 'SZ', 'SZ', 'SZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HNZ', 'HNZ', 'HNZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEA']"
1941,1,"['HFZ', 'HFZ', 'HFZ', 'HFA', 'HFA', 'HFA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'NZ', 'NZ', 'NZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA']"
1942,1,"['HM', 'HM', 'HM', 'TRM', 'TRM', 'TRM', 'NWA', 'NWA', 'NWA', 'NEA', 'NEA', 'NEA', 'SEA', 'SEA', 'SEA', 'SEA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEZ', 'SEZ', 'SEZ', 'WW', 'WW', 'WW', 'WW', 'WW']"
1943,1,"['WZ', 'TM', 'TM', 'TM', 'HNFA', 'HNFA', 'HNFA', 'HM', 'HM', 'HM', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SA', 'SA', 'SA', 'SA', 'SWZ', 'SWZ', 'SWZ', 'NEA', 'NEA', 'NEA', 'SWA', 'SWA', 'SWA', 'SWZ', 'SWZ', 'SWZ']"
1944,1,"['NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWA', 'NWA', 'NWA', 'WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'WA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WA', 'WA', 'WA', 'WA', 'WA']"
1945,1,"['NWA', 'NWA', 'NWA', 'TRM', 'TRM', 'TRM', 'TRM', 'TM', 'TM', 'TM', 'HNFA', 'HNFA', 'HNFA', 'HB', 'HB', 'HB', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'WZ', 'WZ']"
1946,1,"['HFA', 'HFA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'SEA', 'SEA', 'SEA', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ']"
1947,1,"['WW', 'WW', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'WW', 'WW', 'WW', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'NA', 'NA', 'NA', 'NA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNFA', 'SEA', 'SEA']"
1948,1,"['WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WZ', 'WZ', 'WZ', 'WZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'TRM', 'TRM', 'TRM', 'TRM', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SWZ', 'SWZ', 'SWZ']"
1949,1,"['WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HB', 'HB']"
1950,1,"['HM', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WA', 'U', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA']"
1951,1,"['TB', 'TB', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'U', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'NEA', 'NEA', 'NEA']"
1952,1,"['WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'TRW', 'TRW', 'TRW', 'TRW', 'WZ', 'WZ', 'WZ', 'WZ']"
1953,1,"['TRW', 'TM', 'TM', 'TM', 'TM', 'TM', 'TM', 'NWZ', 'NWZ', 'NWZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'NWA', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ']"
1954,1,"['NEA', 'NEA', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NZ', 'NZ', 'NZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HFA', 'HNFA', 'HNFA']"
1955,1,"['HNFA', 'HNFA', 'HNFA', 'HNFA', 'HNA', 'HNA', 'HNA', 'HNA', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'BM', 'BM', 'BM', 'BM', 'BM', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA']"
1956,1,"['NWZ', 'NWZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'BM', 'TB', 'TB', 'TB', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'TRM', 'HFA', 'HFA', 'HFA']"
1957,1,"['SA', 'SA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WA', 'WA', 'WA', 'WA', 'WA', 'WA', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HM', 'HM', 'HM', 'HM', 'HM', 'WW', 'WW', 'WW', 'WW', 'WW', 'SWZ', 'SWZ', 'SWZ']"
1958,1,"['WZ', 'HM', 'HM', 'HM', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'BM', 'BM', 'BM', 'BM', 'BM', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'SA', 'SA', 'SA', 'SA', 'SA', 'HM', 'HM', 'HM']"
1959,1,"['WZ', 'WZ', 'NZ', 'NZ', 'NZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'U', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HB']"
1960,1,"['SWZ', 'SWZ', 'SWZ', 'SWZ', 'NZ', 'NZ', 'NZ', 'NZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'HFA']"
1961,1,"['WW', 'WW', 'WW', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'BM', 'BM', 'BM', 'BM', 'BM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'U', 'WZ', 'WZ', 'WZ', 'WZ']"
1962,1,"['BM', 'BM', 'BM', 'BM', 'BM', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'NEZ', 'NEZ', 'NEZ', 'BM', 'BM']"
1963,1,"['HNA', 'HNA', 'HNA', 'WS', 'WS', 'WS', 'WS', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNA', 'HNFA', 'HNFA', 'HNFA', 'HNA', 'HNA', 'HNA', 'HNA', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HNZ', 'HNZ']"
1964,1,"['SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HNA', 'HNA', 'HNA', 'HNA', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'HM', 'NWZ', 'NWZ', 'NWZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ']"
1965,1,"['SWZ', 'SWZ', 'SWZ', 'HB', 'HB', 'HB', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNZ', 'HNZ', 'HNZ']"
1966,1,"['WZ', 'WZ', 'WZ', 'HM', 'HM', 'HM', 'HFA', 'HFA', 'HFA', 'HFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'WS', 'SWZ', 'SWZ', 'SWZ', 'SWZ']"
1967,1,"['NZ', 'NZ', 'NZ', 'NZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NEZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'HM', 'HM', 'HM', 'SWA', 'SWA', 'SWA', 'WW', 'WW', 'WW', 'WW', 'WW', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ']"
1968,1,"['TRM', 'TRM', 'TRM', 'TRM', 'TRM', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'NZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'U', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'NWZ', 'WA', 'WA', 'WA']"
1969,1,"['TRM', 'TRM', 'TRM', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'TB', 'TB', 'TB', 'TB', 'TB', 'TB', 'TB', 'TB', 'SWA', 'SWA', 'SWA', 'NWZ', 'NWZ', 'NWZ', 'SWZ', 'SWZ', 'SWZ', 'WZ', 'WZ', 'WZ']"
1970,1,"['HNFZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'HNZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'SZ', 'HFZ', 'HFZ', 'HFZ', 'HFZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SWZ', 'SWZ', 'SWZ', 'SWZ', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ']"
1971,1,"['TRM', 'TRM', 'TRM', 'TRM', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'SWA', 'HM', 'HM', 'HM', 'HM', 'WA', 'WA', 'WA', 'WA', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'WZ', 'TRW', 'TRW', 'TRW']"
1972,1,"['HNFA', 'HNFZ', 'HNFZ', 'HNFZ', 'HNFZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'SEA', 'WW', 'WW', 'WW', 'BM', 'BM', 'BM', 'WW', 'WW', 'WW', 'HFZ', 'HFZ', 'HFZ', 'HFZ']"
1973,1,"['BM', 'BM', 'BM', 'BM', 'HB', 'HB', 'HB', 'HB', 'HB', 'HB', 'HM', 'HM', 'HM', 'SZ', 'SZ', 'SZ', 'SZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'SEZ', 'BM', 'BM', 'BM', 'BM', 'NWZ', 'NWZ', 'NWZ', 'WW', 'WW']"
