1940 HB HB HB HB HB TRM TRM TRM WZ WZ WZ WZ WA WA WA NWA NWA NWA NWZ NWZ NWZ NWZ NWZ NWZ NWZ BM BM BM NWA NWA NWA 1940
1941 NWZ NWZ NWZ NWZ NWZ NWZ NWZ NWZ NWZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ 1941
1942 HM HM TRM TRM TRM HM HM HM HM HM WW WW WW WW HM HM HM HM HM WW WW WW WW HM HM HM HM HM HM SWA SWA 1942
1943 HM WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ HM HM HM HM TB TB TB TB HM HM HM WZ WZ WZ WZ WZ 1943
1944 HNA HNA NEA NEA NEA NEA NEA BM BM BM BM BM BM BM SWA SWA SWA SWA TRW TRW TRW HFA HFA HFA BM BM BM WZ WZ WZ WZ 1944
1945 NWA NWA NWA NWA NWA TM TM TM TM TM TM TM TM TM WZ WZ WZ TM TM TM WZ WZ WZ WZ WZ WZ SA SA SA SA HM 1945
1946 WA WA WA WA WA WA WA WA TRW TRW TRW TRW TRW TRW TRW TRW TRW TRW TRW TRW NEA NEA NEA NEA WZ WZ WZ TB TB TB TB 1946
1947 BM BM BM BM WZ WZ WZ WZ NEA NEA NEA NEA NEA HFA HFA HFA HFA HFA HFA HFA NEA NEA NEA NEA NEA NEA NEA NEA NEA NEA NEA 1947
1948 HM HM WZ WZ WZ SWZ SWZ SWZ SWZ WZ WZ WZ WZ WZ WA WA WA WZ WZ WZ WZ WZ WZ WZ WZ WZ HM HM HM HM HM 1948
1949 WA WZ WZ WZ SWA SWA SWA SWA BM BM BM BM BM BM BM BM NWA NWA NWA NWA HM HM HM HM HM HM BM BM BM BM BM 1949
1950 WZ WZ WZ WZ NEZ NEZ NEZ NEZ NEZ NEZ WA WA WA WA WA TRW TRW TRW TRW HM HM HM HM TB TB TB TB TB SWA SWA SWA 1950
1951 WW WW WW WW TRW TRW TRW TRW TRM TRM TRM TRM TRM TRM TRM WA WA WA WA WW WW WW WW WW WW TB TB TB TB TB WW 1951
1952 TB TB TB BM BM BM WZ WZ WZ WZ WZ SWZ SWZ SWZ SWZ SWZ TRM TRM TRM TRM TRM TRM WA WA WA WA WA WA WA WA WA 1952
1953 WZ WZ WA WA WA WA WA BM BM BM BM SWA SWA SWA SWA U WA WA WA WA WZ WZ WZ WZ WZ WZ WZ WA WA WA WA 1953
1954 WZ SWA SWA SWA SWA SWA SWZ SWZ SWZ WZ WZ WZ WZ WZ TRM TRM TRM NEZ NEZ NEZ NEZ TM TM TM TM BM BM BM WA WA WA 1954
