1940 HB SEA SEA SEA WZ WZ WZ WZ TRW TRW TRW U SEA SEA SEA SEA SEA SEA SEA SEA SEA HNFA HNFA HNFA HNZ HNZ HNZ HNZ U WW WW 1940
1941 BM BM HM HM HM HM HM HM WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ WZ HB HB HB HB NZ NZ NZ TM TM TM 1941
1942 BM BM BM BM WA WA WA WZ WZ WZ WZ WA WA WA WA WA WA WA WZ WZ WZ WZ WZ WZ WZ TRW TRW TRW SZ SZ SZ 1942
1943 BM WA WA WA WA WA WA HM HM HM HM HM HM HM HM SA SA SA SA SA SWZ SWZ SWZ SWZ SWZ HM HM HM HM HM HM 1943
1944 TRM TRM TRM TRM HB HB HB HB HB U TRW TRW TRW TRW TRW TRW WZ WZ WZ WZ WZ NEZ NEZ NEZ NEA NEA NEA TM TM TM TM 1944
1945 HB HB HB HB HB HB HB HM HM HM NWA NWA NWA NWA NWA NWA NWA HM HM HM HM WZ WZ WZ WZ WZ WZ TRW TRW TRW TRW 1945
1946 HNA HNA HNA U TM TM TM TM HNA HNA HNA HNA HNA HNA HNA HNA HNA SA SA SA NEZ NEZ NEZ NEZ SA SA SA TRM TRM TRM TRM 1946
1947 NWA NWA NWA NWA BM BM BM BM BM BM BM BM BM BM BM TRM TRM TRM HM HM HM HM HM HFA HFA HFA HFA HFA HFA HFA HFA 1947
1948 WA WA WA WA WA HM HM HM HM HM HM HM WS WS WS WS WS WS WS WZ WZ WZ WZ WZ WZ WZ U HFZ HFZ HFZ HFZ 1948
1949 BM BM BM HM HM HM HM HM HM HM HM SWA SWA SWA SWA SWA SWZ SWZ SWZ SWZ SWZ SWZ SWZ SWZ SWZ TRM TRM TRM BM BM BM 1949
1950 WZ WZ WZ HM HM HM WA WA WA WA WA HM HM HM HM HM WA WA WA HB HB HB HB HB HFZ HFZ HFZ HFZ HFZ HFA HFA 1950
1951 HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA HFA BM BM BM BM TRW TRW TRW HM HM HM SEA SEA SEA SEA U 1951
1952 TM TM TM NWZ NWZ NWZ NWZ NWZ NWZ NWZ NWZ TM TM TM TM TM HFA HFA HFA HFA WW WW WW WW SWZ SWZ SWZ SWZ SWZ WZ WZ 1952
1953 BM BM BM BM HB HB HB HB HM HM HM HM TRW TRW TRW NEZ NEZ NEZ NEZ SEA SEA SEA SEA SWZ SWZ SWZ SWZ SWZ WW WW WW 1953
1954 NWZ NWZ U WW WW WW NEA NEA NEA WA WA WA WA SWA SWA SWA SWA SWA WZ WZ WZ WZ WZ WZ TRM TRM TRM SWZ SWZ SWZ SWZ 1954
1955 WA WA WA WZ WZ WZ WZ BM BM BM BM BM BM BM NWZ NWZ NWZ NWZ TRW TRW TRW TRW NWZ NWZ NWZ HNZ HNZ HNZ HNZ HNZ HM 1955
1956 SWZ SWZ NZ NZ NZ NZ NZ BM BM BM BM BM BM HM HM HM HM SWZ SWZ SWZ WA WA WA WA TRM TRM TRM TRM TRM TRM HNA 1956
1957 HB HB HB HB HM HM HM HM HM HM BM BM BM BM BM BM WZ WZ WZ WZ WZ WZ WZ HM HM HM WA WA WA WA WA 1957
1958 WW WW WW WW WW WW WW SWA SWA SWA SWA WZ WZ WZ WZ WZ NWZ NWZ NWZ NWZ NWZ HB HB HB HB HB HM HM HM HM TRM 1958
