Class,RMSE_pred_slp,RMSE_fp_slp,RMSE_fn_slp,RMSE_pred_z500,RMSE_fp_z500,RMSE_fn_z500
WA,0.39,0.88,0.5,0.05,0.12,0.03
WZ,0.25,0.81,0.36,0.02,0.06,0.04
WS,0.47,1.49,0.73,0.07,0.22,0.04
WW,0.54,0.91,0.55,0.04,0.09,0.05
SWA,0.48,0.83,0.39,0.12,0.19,0.06
SWZ,0.51,1.28,0.83,0.05,0.11,0.07
NWA,1.17,1.34,1.01,0.23,0.23,0.17
NWZ,0.51,1.0,0.49,0.05,0.11,0.06
HM,0.4,0.92,0.36,0.06,0.13,0.05
BM,0.52,0.93,0.34,0.05,0.08,0.03
TM,0.9,1.54,0.83,0.08,0.14,0.07
NA,2.89,5.15,0.78,0.19,0.36,0.06
NZ,0.54,0.96,0.66,0.05,0.13,0.04
HNA,0.56,1.04,0.92,0.06,0.13,0.06
HNZ,0.7,1.22,0.71,0.1,0.23,0.04
HB,0.5,1.3,0.62,0.04,0.09,0.08
TRM,0.57,1.04,0.33,0.06,0.11,0.03
NEA,0.72,1.33,0.54,0.13,0.31,0.04
NEZ,1.07,1.13,1.16,0.1,0.2,0.06
HFA,0.69,1.55,0.5,0.1,0.2,0.08
HFZ,0.86,1.88,0.71,0.06,0.15,0.05
HNFA,1.2,2.8,1.09,0.18,0.38,0.1
HNFZ,0.68,1.36,0.88,0.07,0.11,0.09
SEA,0.7,1.25,0.76,0.07,0.16,0.06
SEZ,1.1,1.85,0.56,0.11,0.18,0.1
SA,0.71,1.64,1.04,0.15,0.15,0.2
SZ,1.01,2.42,1.1,0.22,0.38,0.16
TB,0.64,1.2,0.83,0.07,0.23,0.05
TRW,0.32,0.92,0.46,0.04,0.08,0.05
mean,0.74,1.45,0.69,0.09,0.18,0.07
